FormulaID;FormulaCode;FormulaType;Duration
5272;0003;CAM;3
5275;0006;CAM;3
5279;0082;CAM;3
5281;0013;CAM;3
5289;0400;CAM;3
5318;0005;CAM;6
5319;0005;CAM;3
5331;0199;CAM;6
5339;2025;CAM;3
5360;2043;CAM;3
5389;2044;REG;1
54;0003;CAM;3
5400;2045;CAM;1
5429;2043;CAM;3
5436;2046;CAM;6
5439;2046;CAM;6
5446;2046;CAM;6
5448;2046;CAM;6
5458;2047;CAM;1
5464;2047;CAM;3
5467;2047;CAM;3
5473;2047;REG;3
5481;0199;CAM;6
5484;0199;CAM;6
5522;0005;CAM;3
5531;2049;CAM;3
5551;2049;CAM;3
5568;0082;CAM;3
5573;2050;CAM;1
5590;2047;CAM;1
5596;2047;CAM;3
5610;2051;CAM;12
5618;2051;CAM;6
5631;0003;CAM;3
5656;0013;CAM;3
5658;0013;CAM;3
5664;0013;REG;3
5671;0071;CAM;3
5753;2052;CAM;3
5772;2052;CAM;3
5779;2052;CAM;3
5785;2052;REG;3
5808;0011;CAM;1
5834;2054;CAM;1
5840;2054;CAM;3
5847;2054;CAM;3
5853;2054;REG;3
5991;2051;CAM;3
60;0003;REG;3
6005;0094;CAM;1
6013;2047;CAM;1
6019;2047;CAM;3
6021;2047;CAM;3
6027;2047;REG;3
6044;2054;CAM;3
6100;2056;CAM;1
6116;0082;CAM;3
6122;0082;REG;3
6124;2057;CAM;1
6126;2057;CAM;3
6156;2058;CAM;1
6208;2046;CAM;1
6210;2046;CAM;3
6225;0013;CAM;3
6236;0013;CAM;6
6238;0013;CAM;3
6269;0005;REG;3
6275;0005;CAM;3
6288;2059;CAM;3
6325;2060;CAM;6
64;0003;REG;6
6469;2062;CAM;6
6478;2062;CAM;3
6490;2063;CAM;1
65;0003;REG;6
6566;2060;REG;6
6571;2060;REG;6
6581;2064;CAM;3
6663;2067;CAM;1
6689;2068;CAM;3
669;0013;CAM;3
6696;2068;CAM;3
6698;2068;CAM;3
6720;2068;CAM;3
6754;0005;REG;6
6755;0005;CAM;6
680;0013;REG;6
6974;2076;CAM;1
70;0003;REG;12
7023;0005;REG;3
7027;0005;REG;12
7091;2080;CAM;1
7097;2080;CAM;3
7104;2080;CAM;3
713;0013;CAM;3
7287;2085;CAM;1
729;0013;REG;12
7460;0001;CAM;3
7461;0003;CAM;3
7462;0006;CAM;3
7482;0003;CAM;3
7493;2064;CAM;3
7525;5005;CAM;3
7544;5005;CAM;3
7551;5005;CAM;3
7574;2089;CAM;1
7584;2089;CAM;1
7602;2051;CAM;12
7687;2092;REG;12
7784;0013;CAM;6
779;0017;CAM;3
7790;2094;CAM;3
7839;2094;CAM;3
7915;2091;REG;12
7921;2091;REG;12
7925;2092;CAM;1
7931;2092;CAM;3
7983;2081;CAM;3
8027;0777;REG;6
8031;2025;CAM;1
8091;0013;CAM;6
8119;0013;CAM;6
8174;2034;CAM;6
822;0008;CAM;3
827;0008;REG;3
832;0008;REG;6
837;0008;REG;12
8548;0010;REG;3
8555;0001;REG;3
8556;0001;REG;6
8557;0001;REG;12
863;0018;REG;3
8635;0018;REG;3
8636;0018;REG;6
8637;0018;REG;12
8638;0018;REG;1
8639;0001;REG;12
864;0018;REG;3
8640;0002;REG;12
8641;0001;REG;6
8642;0002;REG;6
8643;0001;REG;3
8644;0002;REG;3
865;0018;REG;3
866;0018;REG;3
868;0018;REG;6
869;0018;REG;6
870;0018;REG;6
871;0018;REG;6
873;0018;REG;12
8737;0001;REG;3
8739;0001;REG;12
874;0018;REG;12
8742;0013;REG;3
8746;0077;REG;3
8747;0077;REG;6
8748;0077;REG;12
875;0018;REG;12
876;0018;REG;12
8788;0003;REG;3
8789;0003;REG;6
8790;0003;REG;12
880;0018;REG;1
8802;0082;REG;6
8803;0082;REG;12
8806;0777;REG;12
881;0018;REG;1
883;0018;REG;1
8896;0014;REG;12
890;0001;REG;12
8903;0082;REG;12
8906;0082;REG;6
8907;0082;REG;3
891;0001;REG;12
8924;0001;REG;3
8925;0003;REG;3
8929;0006;REG;3
8933;0199;REG;12
894;0002;REG;12
8945;0001;REG;12
895;0002;REG;12
8955;0777;REG;6
896;0002;REG;12
899;0001;REG;6
8990;0005;REG;6
900;0001;REG;6
902;0002;REG;6
9021;0199;REG;6
9027;0082;REG;6
903;0002;REG;6
904;0002;REG;6
9053;0992;REG;12
9055;2032;REG;3
908;0001;REG;3
9087;2043;REG;3
909;0001;REG;3
9093;0082;REG;12
9094;0082;CAM;6
9095;0082;REG;6
9102;2046;REG;6
9104;2046;REG;6
9105;2047;REG;3
9129;0004;CAM;3
9130;0004;REG;3
9134;2052;REG;3
9136;0011;CAM;1
9138;2054;REG;3
914;0001;REG;1
9150;2047;REG;3
9154;0016;CAM;3
9155;0016;REG;3
9168;0013;REG;3
917;0002;REG;3
9171;0005;REG;3
9172;0005;REG;3
9177;2060;REG;6
918;0002;REG;3
9181;0005;REG;12
9188;2064;REG;3
919;0002;REG;3
9195;2068;REG;3
923;0002;REG;1
924;0002;REG;1
9252;5005;REG;3
9282;2094;REG;3
9293;2091;REG;12
9300;0777;REG;3
9301;0777;REG;6
9316;2034;REG;6
932;0011;CAM;1
9334;0005;REG;3
9336;0005;REG;6
9348;2099;CAM;12
9350;2099;CAM;6
9351;2099;REG;6
9352;2099;CAM;3
9353;2099;REG;3
9417;0002;REG;1
9419;0077;CAM;12
9442;0082;CAM;12
9456;0005;CAM;12
9465;2044;REG;1
9466;2044;REG;1
9555;0014;CAM;12
9569;0082;CAM;6
9584;0003;CAM;3
9585;0003;CAM;3
9589;0006;CAM;3
9611;0777;CAM;6
9822;2092;CAM;12
9832;2094;CAM;3
9841;0013;CAM;6
9855;0005;CAM;3
