DeliveryID;SubscriptionID;DeliveryType;DeliveryClass;DeliveryContext;StartDate;EndDate
5279;100451;MD;NOR;;26/09/2007;18/05/2008
5280;100451;MD;NOR;;25/05/2008;30/06/2008
5281;100451;DR;NOR;VAC;19/05/2008;24/05/2008
5282;100451;MD;NOR;;02/07/2007;18/09/2007
5292;100452;DR;NOR;;23/06/2007;29/06/2007
5293;100452;DR;NOR;;07/05/2007;15/05/2007
5294;100452;MD;NOR;;01/07/2006;06/05/2007
5295;100452;MD;NOR;;16/05/2007;22/06/2007
5296;100452;MD;NOR;;30/06/2007;30/06/2007
5343;1004554;MD;NOR;;21/01/2010;19/03/2010
5374;1004568;DI;;NPA;03/03/2010;10/03/2010
5375;1004568;MD;ABN;;12/03/2010;12/03/2010
5376;1004568;MD;ABN;;11/03/2010;11/03/2010
5377;1004568;MD;NOR;;19/02/2010;02/03/2010
5378;1004568;MD;NOR;;13/03/2010;26/02/2011
5546;1004661;MD;NOR;PCH;19/02/2010;18/02/2011
5846;1004837;MD;NOR;REN;19/02/2010;20/08/2010
5947;1004902;MD;NOR;;05/02/2010;06/03/2010
6233;1005171;MD;NOR;REN;19/02/2010;21/05/2010
6558;1005519;MD;NOR;;20/02/2010;19/02/2011
7072;1005944;MD;NOR;REN;06/02/2010;06/03/2010
7098;1005969;MD;NOR;PCH;06/02/2010;06/03/2010
7153;1006019;MD;NOR;;06/02/2010;06/03/2010
7243;1006090;MD;NOR;PCH;02/02/2010;02/03/2010
7984;1006611;MD;NOR;;21/02/2010;25/05/2010
8177;1006761;MD;NOR;;07/02/2010;08/03/2010
8621;1007210;MD;NOR;;27/01/2010;25/03/2010
9278;1007660;MD;NOR;ACH;24/02/2010;23/02/2011
9598;1008417;MD;NOR;PCH;24/02/2010;23/02/2011
9822;1008741;MD;NOR;PCH;24/02/2010;06/03/2010
9909;1008806;MD;NOR;;25/02/2010;28/05/2010
10207;1009046;MD;NOR;PCH;23/02/2010;26/05/2010
11188;1010009;MD;NOR;REN;26/02/2010;29/05/2010
11339;1010132;MD;NOR;;28/01/2010;05/02/2011
11675;1010409;MD;NOR;PCH;29/01/2010;26/02/2010
11921;1010600;MD;NOR;;27/02/2010;26/02/2011
12561;1011089;MD;NOR;REN;27/02/2010;31/05/2010
12952;1011297;MD;NOR;;28/02/2010;01/03/2011
13150;1011431;MD;NOR;;28/02/2010;30/08/2010
13159;1011440;MD;NOR;;28/02/2010;01/06/2010
13271;1011502;MD;NOR;PCH;28/02/2010;01/06/2010
14176;1012052;MD;NOR;PCH;02/03/2010;01/03/2011
14496;1012285;MD;NOR;PCH;02/03/2010;01/03/2011
14510;1012294;MD;NOR;PCH;02/03/2010;01/03/2011
14517;1012300;MD;NOR;;02/03/2010;01/03/2011
14622;1012387;MD;NOR;PCH;02/03/2010;01/03/2011
14782;101250;MD;NOR;;19/10/2008;20/10/2009
14783;1012500;MD;NOR;;02/03/2010;01/03/2011
14793;101251;MD;NOR;;22/09/2007;18/10/2008
14804;101252;MD;NOR;;22/06/2007;21/09/2007
14814;101253;MD;NOR;;22/03/2007;21/06/2007
14830;101254;MD;NOR;;22/12/2006;21/03/2007
14874;1012565;MD;NOR;PCH;03/03/2010;02/03/2011
15208;1012766;MD;NOR;;02/03/2010;01/03/2011
15636;1013107;MD;NOR;;03/03/2010;02/03/2011
15868;1013271;MD;NOR;;02/03/2010;01/03/2011
16009;1013380;MD;NOR;;02/03/2010;01/03/2011
16017;1013389;MD;NOR;;02/03/2010;01/03/2011
16177;1013497;MD;NOR;;02/03/2010;01/03/2011
16212;1013526;MD;NOR;;02/03/2010;01/03/2011
16325;1013622;MD;NOR;PCH;03/03/2010;02/03/2011
16536;1013786;MD;NOR;PCH;03/03/2010;02/03/2011
16551;1013798;MD;NOR;;02/03/2010;01/03/2011
16734;1013946;MD;NOR;;02/03/2010;01/03/2011
16791;1013986;MD;NOR;;02/03/2010;31/08/2010
16958;101411;MD;NOR;;01/01/2008;31/03/2008
16987;101412;MD;NOR;;30/09/2007;31/12/2007
16998;101413;MD;NOR;;02/07/2007;29/09/2007
17000;1014131;MD;NOR;;02/03/2010;12/03/2010
17009;101414;MD;NOR;;02/04/2007;30/06/2007
17020;101415;MD;NOR;;02/01/2007;31/03/2007
17117;1014224;MD;NOR;;03/03/2010;01/09/2010
17163;1014262;MD;NOR;;03/03/2010;03/06/2010
17475;1014509;MD;NOR;PCH;02/03/2010;02/06/2010
17549;1014567;MD;NOR;;03/03/2010;03/06/2010
17601;1014609;MD;NOR;PCH;04/03/2010;24/05/2010
17602;1014609;MD;NOR;PCH;15/06/2010;25/06/2010
17603;1014609;DI;;VAC;25/05/2010;14/06/2010
17679;1014673;MD;NOR;;03/03/2010;03/06/2010
17717;1014702;MD;NOR;PCH;03/03/2010;24/05/2010
17718;1014702;MD;NOR;PCH;30/05/2010;09/06/2010
17719;1014702;DI;;VAC;25/05/2010;29/05/2010
17831;1014798;MD;NOR;REN;04/03/2010;15/03/2010
17846;1014807;MD;NOR;ACH;16/02/2010;16/03/2010
18037;1014962;MD;NOR;;16/02/2010;16/03/2010
18204;1015086;MD;NOR;PCH;17/02/2010;17/03/2010
18974;1015775;MD;NOR;;05/03/2010;03/09/2010
19010;1015792;MD;NOR;REN;05/03/2010;16/03/2010
19158;1015880;DR;NOR;VAC;10/07/2010;17/07/2010
19159;1015880;MD;NOR;;05/03/2010;09/07/2010
19160;1015880;MD;NOR;;18/07/2010;11/09/2010
19253;1015951;MD;NOR;PCH;19/02/2010;21/05/2010
19350;1016022;MD;NOR;;19/02/2010;19/03/2010
19543;1016191;MD;NOR;PCH;19/02/2010;19/03/2010
19612;1016254;MD;NOR;PCH;19/02/2010;19/03/2010
19668;1016306;MD;NOR;PCH;19/02/2010;19/03/2010
19727;101636;MD;NOR;ACH;01/07/2008;01/07/2009
19738;101637;MD;NOR;ACH;09/05/2008;30/06/2008
19739;101637;MD;NOR;;02/07/2007;08/05/2008
19750;101638;MD;NOR;;01/07/2006;30/06/2007
20279;1016847;MD;NOR;PCH;19/02/2010;19/03/2010
21547;101783;MD;NOR;;01/01/2008;30/12/2008
21559;101784;MD;NOR;;02/01/2007;31/12/2007
22131;1018215;MD;NOR;PCH;20/02/2010;20/03/2010
22224;1018295;MD;NOR;PCH;20/02/2010;20/03/2010
22255;1018323;MD;NOR;PCH;20/02/2010;20/03/2010
22303;1018369;MD;NOR;PCH;03/03/2010;31/03/2010
22888;1018695;MD;NOR;;07/03/2010;06/09/2010
22920;1018715;MD;NOR;;21/02/2010;25/05/2010
23225;1018977;MD;NOR;PCH;21/02/2010;22/03/2010
23344;1019077;MD;NOR;PCH;21/02/2010;22/03/2010
24922;1020080;MD;NOR;PCH;11/03/2010;09/09/2010
24984;1020128;MD;NOR;ACH;19/04/2010;31/08/2010
24985;1020128;MD;NOR;ACH;01/09/2010;07/09/2010
24986;1020128;MD;NOR;;09/03/2010;18/04/2010
25627;1020622;MD;ABN;;21/03/2010;22/03/2010
25628;1020622;MD;ABN;;20/03/2010;20/03/2010
25629;1020622;MD;NOR;;23/03/2010;27/05/2010
25630;1020622;MD;NOR;;07/06/2010;18/06/2010
25631;1020622;MD;NOR;;09/03/2010;19/03/2010
25632;1020622;DI;;VAC;28/05/2010;06/06/2010
25633;1020623;MD;NOR;;09/03/2010;09/06/2010
25837;1020782;MD;NOR;;25/02/2010;25/03/2010
25948;1020890;MD;ABN;REN;10/02/2010;10/02/2010
25949;1020890;MD;NOR;REN;11/02/2010;11/05/2010
26687;1021457;MD;NOR;REN;12/02/2010;26/08/2010
26688;1021457;MD;ABN;REN;11/02/2010;11/02/2010
26774;1021512;MD;NOR;REN;20/02/2010;20/03/2010
27209;1021759;MD;ABN;;19/03/2010;19/03/2010
27210;1021759;DI;;NPA;16/03/2010;18/03/2010
27211;1021759;MD;NOR;;15/02/2010;15/03/2010
27212;1021759;MD;NOR;;20/03/2010;20/05/2010
27453;1021933;MD;NOR;;26/02/2010;29/03/2010
27478;1021953;MD;NOR;;26/02/2010;26/03/2010
28051;1022457;MD;NOR;;13/03/2010;14/06/2010
28552;1022837;MD;NOR;PCH;27/02/2010;27/03/2010
29060;1023128;MD;NOR;PCH;14/03/2010;25/03/2010
29076;102314;MD;NOR;;01/11/2007;29/10/2008
29086;102315;MD;NOR;;02/11/2006;31/10/2007
29249;1023258;MD;NOR;ACH;28/02/2010;29/03/2010
29373;1023344;MD;NOR;PCH;10/03/2010;08/04/2010
29410;1023383;MD;NOR;PCH;20/02/2010;20/02/2010
30803;1024585;MD;NOR;;16/03/2010;26/03/2010
30804;1024585;MD;NOR;;01/04/2010;17/09/2010
30805;1024585;DI;;NPA;27/03/2010;30/03/2010
30806;1024585;MD;ABN;;31/03/2010;31/03/2010
31135;1024860;MD;NOR;PCH;16/03/2010;16/06/2010
31221;1024936;MD;NOR;;18/03/2010;18/06/2010
31330;1025021;MD;NOR;PCH;03/03/2010;09/05/2010
31331;1025021;MD;NOR;PCH;18/05/2010;10/06/2010
31332;1025021;DI;;VAC;10/05/2010;17/05/2010
31377;1025056;MD;NOR;;02/03/2010;02/06/2010
31462;1025111;MD;NOR;PCH;18/03/2010;09/05/2010
31463;1025111;MD;NOR;PCH;30/05/2010;07/07/2010
31464;1025111;DI;;VAC;10/05/2010;29/05/2010
31666;1025265;MD;NOR;ACH;03/03/2010;31/03/2010
31823;1025395;MD;NOR;REN;04/03/2010;01/04/2010
32823;1026047;MD;ABN;REN;18/02/2010;18/02/2010
32824;1026047;MD;NOR;REN;19/02/2010;18/03/2010
32954;1026160;MD;NOR;PCH;05/03/2010;02/04/2010
33683;1026660;MD;NOR;;07/03/2010;06/04/2010
33808;1026773;MD;NOR;PCH;06/03/2010;03/04/2010
34664;1027353;MD;NOR;PCH;21/02/2010;06/04/2010
34665;1027353;MD;NOR;PCH;11/04/2010;11/07/2010
34666;1027353;MD;NOR;PCH;25/07/2010;09/09/2010
34667;1027353;DI;;VAC;12/07/2010;24/07/2010
34668;1027353;DI;;VAC;07/04/2010;10/04/2010
35065;1027601;MD;NOR;PCH;21/03/2010;09/09/2010
35066;1027601;MD;NOR;PCH;19/09/2010;29/09/2010
35067;1027601;DI;;VAC;10/09/2010;18/09/2010
35223;1027713;MD;NOR;REN;07/03/2010;06/04/2010
35296;1027765;MD;NOR;REN;14/03/2010;13/04/2010
35351;1027813;MD;NOR;;07/03/2010;06/04/2010
35368;1027829;MD;NOR;PCH;07/03/2010;06/04/2010
35652;1028014;MD;NOR;PCH;25/03/2010;01/12/2010
36728;102857;MD;NOR;;01/01/2008;30/12/2008
36742;102858;MD;NOR;;02/01/2007;31/12/2007
36744;1028581;MD;NOR;;24/03/2010;24/06/2010
36803;1028627;MD;NOR;;23/03/2010;23/06/2010
36902;1028695;MD;NOR;;25/03/2010;25/06/2010
36918;1028708;MD;NOR;;23/03/2010;23/06/2010
36941;1028727;MD;NOR;;23/03/2010;26/03/2010
36942;1028727;MD;NOR;;24/04/2010;16/07/2010
36943;1028727;MD;NOR;ACH;17/07/2010;20/07/2010
36944;1028727;DI;;VAC;27/03/2010;23/04/2010
37007;1028766;MD;NOR;PCH;25/03/2010;25/06/2010
37030;1028781;MD;NOR;;23/03/2010;23/06/2010
37063;1028804;MD;NOR;REN;24/03/2010;24/06/2010
37099;1028831;MD;NOR;REN;25/03/2010;06/04/2010
37100;1028831;MD;NOR;REN;11/04/2010;15/06/2010
37101;1028831;MD;NOR;REN;26/06/2010;10/07/2010
37102;1028831;DI;;VAC;16/06/2010;25/06/2010
37103;1028831;DI;;VAC;07/04/2010;10/04/2010
37119;1028844;MD;NOR;;09/03/2010;09/06/2010
37257;1028947;MD;NOR;;24/03/2010;24/06/2010
37390;1029068;MD;NOR;;23/03/2010;23/06/2010
37424;1029098;MD;NOR;;09/03/2010;07/04/2010
38207;1029671;MD;NOR;PCH;26/03/2010;26/06/2010
38392;1029806;MD;NOR;;26/03/2010;26/06/2010
38487;1029884;MD;NOR;REN;26/03/2010;26/06/2010
39282;1030418;MD;NOR;;13/03/2010;12/04/2010
40014;1030861;MD;NOR;PCH;28/03/2010;27/09/2010
40082;1030899;MD;NOR;ACH;28/03/2010;29/06/2010
40728;1031411;MD;NOR;REN;21/03/2010;20/04/2010
40814;103147;MD;NOR;;01/01/2008;31/03/2008
40825;103148;MD;NOR;;30/09/2007;31/12/2007
40835;103149;MD;NOR;;02/07/2007;29/09/2007
40842;103150;MD;NOR;;02/04/2007;30/06/2007
40846;103151;MD;NOR;;02/01/2007;31/03/2007
41266;1031711;MD;NOR;;31/03/2010;12/04/2010
42106;103225;MD;NOR;;01/04/2008;30/03/2009
42117;103226;MD;NOR;;02/04/2007;31/03/2008
42131;103227;MD;NOR;;01/04/2006;31/03/2007
44578;103409;MD;NOR;;01/01/2008;29/06/2008
44579;103409;MD;NOR;;13/07/2008;31/12/2008
44580;103409;DR;NOR;OTH;30/06/2008;12/07/2008
44590;103410;DR;NOR;;24/08/2007;30/08/2007
44591;103410;MD;NOR;;02/01/2007;23/08/2007
44592;103410;MD;NOR;;31/08/2007;31/12/2007
44921;103433;MD;NOR;;01/01/2008;30/12/2008
44935;103434;MD;NOR;;02/01/2007;31/12/2007
45800;103546;MD;NOR;;01/01/2008;30/12/2008
45805;103547;MD;NOR;;02/01/2007;31/12/2007
46266;1035879;MD;NOR;;31/03/2010;29/09/2010
46482;1036036;MD;NOR;;31/03/2010;29/09/2010
46491;1036044;MD;NOR;;31/03/2010;22/07/2010
46494;1036049;MD;NOR;;31/03/2010;29/09/2010
46583;1036124;MD;NOR;;31/03/2010;29/09/2010
46708;103622;MD;NOR;;01/01/2008;31/03/2008
46721;103623;MD;NOR;;30/09/2007;31/12/2007
46734;103624;MD;NOR;;02/07/2007;29/09/2007
46747;103625;MD;NOR;;02/04/2007;30/06/2007
46761;103626;MD;NOR;;02/01/2007;31/03/2007
47008;1036464;MD;NOR;;01/04/2010;30/09/2010
47383;1036746;MD;NOR;;01/04/2010;02/07/2010
47419;103678;MD;NOR;;01/01/2008;30/12/2008
47430;103679;MD;NOR;;02/01/2007;31/12/2007
47591;1036931;MD;NOR;;01/04/2010;02/07/2010
47758;1037071;MD;NOR;;31/03/2010;01/07/2010
47782;1037091;MD;NOR;;31/03/2010;01/07/2010
47861;103716;MD;NOR;;01/01/2008;30/12/2008
47872;103717;MD;NOR;;02/01/2007;31/12/2007
48006;1037281;MD;NOR;;31/03/2010;01/07/2010
48086;1037351;MD;NOR;ACH;31/03/2010;01/07/2010
48197;1037439;MD;NOR;;31/03/2010;01/07/2010
48243;1037470;MD;NOR;;31/03/2010;01/07/2010
48253;103748;MD;NOR;;01/01/2008;30/12/2008
48264;103749;MD;NOR;;02/01/2007;31/12/2007
48364;1037570;MD;NOR;PCH;31/03/2010;01/07/2010
48413;103761;MD;NOR;;01/01/2008;31/03/2008
48418;1037614;MD;NOR;ACH;31/03/2010;01/07/2010
48424;103762;MD;NOR;;30/09/2007;31/12/2007
48435;103763;MD;NOR;;02/07/2007;29/09/2007
48455;103764;MD;NOR;;02/04/2007;30/06/2007
48465;103765;MD;NOR;;02/01/2007;31/03/2007
48597;1037767;MD;NOR;;31/03/2010;01/07/2010
48633;1037795;MD;NOR;;31/03/2010;12/04/2010
48707;1037851;MD;NOR;ACH;31/03/2010;01/07/2010
48865;1037986;MD;NOR;;31/03/2010;01/07/2010
48890;1038008;MD;NOR;;01/04/2010;02/07/2010
49079;1038172;MD;NOR;;31/03/2010;01/07/2010
49191;1038264;MD;NOR;;31/03/2010;01/07/2010
49534;1038552;MD;NOR;;31/03/2010;01/07/2010
50102;1039032;MD;NOR;;31/03/2010;01/07/2010
50221;1039133;MD;NOR;;31/03/2010;01/07/2010
50237;1039148;MD;NOR;;31/03/2010;01/07/2010
50354;1039241;MD;NOR;;31/03/2010;01/07/2010
50405;1039285;MD;NOR;;31/03/2010;01/07/2010
50469;1039340;MD;NOR;;31/03/2010;01/07/2010
50670;1039511;MD;NOR;;31/03/2010;01/07/2010
50706;1039540;MD;NOR;;31/03/2010;01/07/2010
50751;1039578;MD;NOR;REN;31/03/2010;01/07/2010
50775;1039598;MD;NOR;;31/03/2010;01/07/2010
50804;1039619;MD;NOR;;31/03/2010;01/07/2010
50911;1039705;MD;NOR;PCH;31/03/2010;01/07/2010
51060;1039839;MD;NOR;;30/03/2010;30/06/2010
51062;1039840;MD;NOR;;31/03/2010;01/07/2010
51161;1039920;MD;NOR;ACH;31/03/2010;01/07/2010
51177;1039931;MD;NOR;ACH;17/03/2010;15/04/2010
51201;1039952;MD;NOR;;17/03/2010;15/04/2010
51442;1040164;MD;NOR;PCH;18/03/2010;16/04/2010
52286;1040715;MD;NOR;;02/04/2010;03/07/2010
52303;1040727;MD;NOR;;02/04/2010;03/07/2010
53547;1041649;MD;NOR;;03/04/2010;02/10/2010
53649;1041713;MD;NOR;;03/04/2010;15/04/2010
53982;1041968;MD;NOR;PCH;03/04/2010;15/04/2010
53983;1041968;DI;;NPA;16/04/2010;23/04/2010
53984;1041968;MD;NOR;PCH;25/04/2010;13/07/2010
53985;1041968;MD;ABN;PCH;24/04/2010;24/04/2010
54112;1042065;MD;NOR;PCH;20/03/2010;19/04/2010
54362;1042287;MD;NOR;PCH;20/03/2010;19/04/2010
54382;1042305;MD;NOR;;20/03/2010;19/04/2010
54615;1042510;MD;NOR;PCH;20/03/2010;19/04/2010
55209;1043014;MD;NOR;;06/03/2010;09/03/2010
55210;1043014;MD;ABN;;05/03/2010;05/03/2010
55657;1043389;MD;NOR;PCH;20/03/2010;19/04/2010
56065;1043717;MD;NOR;;04/04/2010;04/10/2010
56185;1043800;MD;NOR;;04/04/2010;06/07/2010
56211;1043820;MD;NOR;;04/04/2010;06/07/2010
56324;1043909;MD;NOR;PCH;04/04/2010;06/07/2010
56465;1044047;MD;NOR;;04/04/2010;06/07/2010
56469;1044050;MD;NOR;;04/04/2010;06/07/2010
56694;1044262;MD;NOR;PCH;21/03/2010;20/04/2010
56711;1044279;MD;NOR;PCH;21/03/2010;20/04/2010
56724;1044290;MD;NOR;PCH;21/03/2010;20/04/2010
56798;1044395;MD;NOR;REN;19/03/2010;17/04/2010
57053;1044680;MD;NOR;;14/03/2010;13/04/2010
57054;1044680;MD;NOR;;16/04/2010;17/06/2010
57055;1044680;DI;;NPA;14/04/2010;14/04/2010
57056;1044680;MD;ABN;;15/04/2010;15/04/2010
57139;104476;MD;NOR;;07/12/2007;05/12/2008
57147;104477;MD;NOR;;07/12/2006;06/12/2007
58265;1045544;MD;NOR;PCH;07/04/2010;07/07/2010
58379;1045621;MD;NOR;PCH;23/03/2010;21/04/2010
58484;1045708;MD;NOR;PCH;23/03/2010;21/04/2010
59841;1046561;MD;NOR;;09/04/2010;09/07/2010
59845;1046566;MD;NOR;;20/03/2010;28/06/2010
59949;1046651;MD;NOR;;26/03/2010;24/04/2010
60852;1047456;MD;NOR;;10/04/2010;10/07/2010
60921;1047509;MD;NOR;REN;10/04/2010;10/07/2010
61272;1047805;MD;NOR;;27/03/2010;26/04/2010
62033;1048316;MD;NOR;;11/04/2010;12/07/2010
62073;1048349;MD;NOR;;11/04/2010;17/07/2010
62388;1048597;MD;NOR;;16/03/2010;14/05/2010
62389;1048597;MD;ABN;;15/03/2010;15/03/2010
62466;104868;MD;NOR;;01/01/2008;11/06/2008
62467;104868;MD;NOR;;28/06/2008;30/12/2008
62468;104868;DR;NOR;OTH;12/06/2008;27/06/2008
62482;104869;MD;NOR;;02/01/2007;15/06/2007
62483;104869;MD;NOR;;30/06/2007;31/12/2007
62484;104869;DR;NOR;;16/06/2007;29/06/2007
62587;1048792;MD;NOR;PCH;28/03/2010;27/04/2010
62601;1048815;MD;NOR;;21/03/2010;22/06/2010
62604;104882;MD;NOR;;01/01/2008;30/12/2008
62621;104883;MD;NOR;;02/01/2007;31/12/2007
62737;1048915;MD;NOR;;18/03/2010;16/11/2010
63985;1049693;MD;ABN;;29/04/2010;29/04/2010
63986;1049693;MD;NOR;;15/04/2010;26/04/2010
63987;1049693;MD;NOR;;30/04/2010;28/07/2010
63988;1049693;MD;NOR;;09/08/2010;28/10/2010
63989;1049693;DI;;NPA;27/04/2010;28/04/2010
63990;1049693;DI;;OTH;29/07/2010;08/08/2010
64225;1049855;MD;NOR;;31/03/2010;01/07/2010
64537;1050105;MD;NOR;;31/03/2010;01/07/2010
64591;1050143;MD;NOR;;31/03/2010;01/07/2010
64618;1050164;MD;NOR;;31/03/2010;01/07/2010
64667;1050207;MD;NOR;;31/03/2010;01/07/2010
64813;1050311;MD;NOR;;14/04/2010;14/07/2010
64889;1050369;MD;NOR;;14/04/2010;14/07/2010
65032;1050474;MD;NOR;;31/03/2010;01/07/2010
65090;1050521;MD;NOR;PCH;31/03/2010;01/07/2010
65102;1050533;MD;NOR;;01/04/2010;02/07/2010
65321;1050701;MD;NOR;;15/04/2010;15/07/2010
65414;1050778;MD;NOR;PCH;01/04/2010;30/04/2010
65451;1050808;MD;NOR;;30/03/2010;28/04/2010
65563;1050901;MD;NOR;ACH;30/03/2010;28/04/2010
65568;1050906;MD;NOR;REN;14/04/2010;14/05/2010
65656;1050973;MD;NOR;ACH;01/04/2010;02/04/2010
65657;1050973;MD;NOR;ACH;09/04/2010;06/05/2010
65658;1050973;DI;;VAC;03/04/2010;08/04/2010
66029;1051264;MD;NOR;;16/04/2010;14/10/2010
66665;1051699;MD;NOR;REN;16/04/2010;16/07/2010
66672;1051705;MD;NOR;REN;02/04/2010;03/05/2010
67141;1051999;MD;NOR;;17/04/2010;17/07/2010
67231;1052053;MD;NOR;PCH;17/04/2010;04/06/2010
67232;1052053;MD;NOR;PCH;18/06/2010;31/07/2010
67233;1052053;DI;;OTH;05/06/2010;17/06/2010
67593;1052249;MD;NOR;PCH;03/04/2010;04/05/2010
67922;1052423;MD;NOR;PCH;15/10/2010;15/11/2010
67923;1052423;MD;NOR;PCH;18/04/2010;02/05/2010
67924;1052423;MD;NOR;PCH;08/05/2010;31/07/2010
67925;1052423;MD;NOR;PCH;16/08/2010;07/10/2010
67926;1052423;DI;;VAC;03/05/2010;07/05/2010
67927;1052423;DI;;VAC;08/10/2010;14/10/2010
67928;1052423;DI;;VAC;01/08/2010;15/08/2010
68338;1052675;MD;NOR;PCH;09/04/2010;02/05/2010
68339;1052675;MD;NOR;PCH;08/05/2010;15/05/2010
68340;1052675;DI;;VAC;03/05/2010;07/05/2010
68383;1052713;MD;NOR;PCH;18/04/2010;19/07/2010
68421;1052743;MD;NOR;PCH;04/04/2010;05/05/2010
68868;1053097;MD;ABN;;22/03/2010;22/03/2010
68869;1053097;MD;NOR;;23/03/2010;20/04/2010
70623;1054284;MD;NOR;;20/04/2010;18/10/2010
71141;1054677;MD;NOR;REN;22/04/2010;23/07/2010
71228;1054734;MD;NOR;PCH;22/04/2010;23/07/2010
71391;1054856;MD;NOR;PCH;21/04/2010;20/05/2010
71392;1054856;MD;NOR;PCH;05/06/2010;05/08/2010
71393;1054856;DI;;VAC;21/05/2010;04/06/2010
71461;1054915;MD;NOR;PCH;07/04/2010;06/05/2010
71483;1054937;MD;NOR;;07/04/2010;06/05/2010
71489;1054942;MD;NOR;REN;07/04/2010;06/05/2010
71561;1055012;MD;NOR;;08/04/2010;07/05/2010
71585;1055040;MD;NOR;;07/04/2010;06/05/2010
72171;1055567;MD;NOR;REN;30/03/2010;29/07/2010
72255;1055611;MD;NOR;PCH;23/04/2010;24/07/2010
72915;105625;MD;NOR;;02/08/2008;03/08/2009
72929;105626;MD;NOR;;02/08/2007;01/08/2008
72951;105627;MD;NOR;;01/07/2006;01/08/2007
73834;105705;MD;NOR;;01/01/2008;30/12/2008
73847;105706;MD;NOR;;02/01/2007;31/12/2007
73924;1057120;MD;NOR;REN;02/04/2010;22/05/2010
73925;1057120;MD;NOR;REN;27/05/2010;06/07/2010
73926;1057120;DI;;NPA;23/05/2010;25/05/2010
73927;1057120;MD;ABN;REN;26/05/2010;26/05/2010
74494;1057906;MD;NOR;;25/04/2010;22/05/2010
75373;105878;MD;NOR;;01/04/2008;30/03/2009
75384;105879;MD;NOR;;02/04/2007;31/03/2008
75404;105880;MD;NOR;;01/04/2006;31/03/2007
76370;1059912;MD;NOR;REN;28/04/2010;29/07/2010
76647;1060166;MD;NOR;;13/04/2010;12/05/2010
77251;1060699;MD;NOR;;30/04/2010;12/05/2010
77325;1060743;MD;NOR;PCH;30/04/2010;31/07/2010
77606;1060985;MD;NOR;;30/04/2010;07/05/2010
77972;1061300;MD;NOR;;16/04/2010;17/05/2010
78299;1061597;MD;NOR;ACH;16/04/2010;17/05/2010
79511;106268;MD;NOR;;01/01/2008;31/03/2008
79518;106269;MD;NOR;;30/09/2007;31/12/2007
79521;106270;MD;NOR;;30/06/2007;29/09/2007
79532;106271;MD;NOR;;30/03/2007;29/06/2007
79539;106272;MD;NOR;;30/12/2006;29/03/2007
79709;1062877;MD;NOR;;06/04/2010;19/04/2010
80065;1063202;MD;NOR;;06/04/2010;19/04/2010
80292;1063410;MD;NOR;;06/04/2010;19/04/2010
80739;1063827;MD;NOR;;06/04/2010;19/04/2010
80879;106397;MD;NOR;;01/01/2008;30/06/2008
80889;106398;MD;NOR;;02/07/2007;31/12/2007
80898;106399;MD;NOR;;02/01/2007;30/06/2007
